"","site_number","study_block","study_sample","study_number","reference","lat","lon","country","biome","land_use","land_use_specific","land_use_intensity","LUI","richness","amazon"
"140","1584_51","1584_51","1584_2",1584,"McKeon2013",-4.472216667,-49.11298333,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",3,1
"141","1584_52","1584_52","1584_2",1584,"McKeon2013",-5.35425,-49.21295,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
"142","1584_53","1584_53","1584_2",1584,"McKeon2013",-5.36605,-49.20185,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",4,1
"143","1584_54","1584_54","1584_2",1584,"McKeon2013",-5.371783333,-49.1759,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","managed","Cropland","intense","managed-substantial",3,1
"144","1584_6","1584_6","1584_1",1584,"McKeon2013",2.983733333,-61.32535,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",1,1
"145","1584_7","1584_7","1584_1",1584,"McKeon2013",2.7575,-60.70408333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","managed","Cropland","intense","managed-substantial",2,1
"146","1584_8","1584_8","1584_1",1584,"McKeon2013",2.858366667,-60.62808333,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",1,1
"147","1584_9","1584_9","1584_1",1584,"McKeon2013",2.634233333,-60.59285,"Brazil","Tropical & Subtropical Grasslands, Savannas & Shrublands","primary vegetation","Primary vegetation","minimal","primary vegetation-minimal",2,1
"148","1605_1","1605_1","1605_1",1605,"NaranjoDiaz2020",7.30875,-76.58375,"Colombia","Tropical & Subtropical Moist Broadleaf Forests","managed","cropland","intense","managed-substantial",4,0
"149","1605_2","1605_1","1605_4",1605,"NaranjoDiaz2020",7.3558,-76.48955,"Colombia","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","grassland","intense","primary vegetation-substantial",3,0
"150","1605_3","1605_2","1605_2",1605,"NaranjoDiaz2020",7.86375,-76.57633,"Colombia","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest","intense","primary vegetation-substantial",8,0
"151","1605_4","1605_2","1605_3",1605,"NaranjoDiaz2020",7.8833,-76.60219,"Colombia","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","forest","intense","primary vegetation-substantial",4,0
"152","1638_1","1638_1","1638_2",1638,"Rezende2013",-19.96708611,-40.57955556,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","human dwellings","light","urban-substantial",10,0
"153","1638_2","1638_2","1638_2",1638,"Rezende2013",-20.33375278,-41.22955556,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","urban","human dwellings","light","urban-substantial",7,0
"154","1638_3","1638_1","1638_1",1638,"Rezende2013",-19.96708611,-40.57955556,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","minimal","primary vegetation-minimal",5,0
"155","1638_4","1638_1","1638_1",1638,"Rezende2013",-19.96708611,-40.57955556,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","minimal","primary vegetation-minimal",4,0
"156","1638_5","1638_2","1638_1",1638,"Rezende2013",-20.33375278,-41.22955556,"Brazil","Tropical & Subtropical Moist Broadleaf Forests","primary vegetation","Atlantic forest","minimal","primary vegetation-minimal",3,0
